ram: set wl 32
ram: set size 64
ram: set size 4096
ram: set wl 32
ram: set size 32
ram: set wl 32
Profile Cycle             272:             787 evals,             108 toggles,            7044 zeroes,             230 ones
Profile Cycle             273:             715 evals,             163 toggles,            7082 zeroes,             369 ones
Profile Cycle             274:             776 evals,             171 toggles,            6825 zeroes,             417 ones
Profile Cycle             275:             776 evals,              53 toggles,            6871 zeroes,             461 ones
Profile Cycle             276:             762 evals,             102 toggles,            6812 zeroes,             382 ones
Profile Cycle             277:             753 evals,              31 toggles,            6723 zeroes,             372 ones
Profile Cycle             278:             754 evals,               8 toggles,            6727 zeroes,             369 ones
Profile Cycle             279:             755 evals,              17 toggles,            6730 zeroes,             368 ones
Profile Cycle             280:             770 evals,              50 toggles,            6797 zeroes,             407 ones
Profile Cycle             281:             766 evals,             194 toggles,            6826 zeroes,             431 ones
Profile Cycle             282:             726 evals,             163 toggles,            7127 zeroes,             310 ones
Profile Cycle             283:             755 evals,             107 toggles,            7340 zeroes,             215 ones
Profile Cycle             284:             787 evals,              77 toggles,            7054 zeroes,             220 ones
Profile Cycle             285:             713 evals,              67 toggles,            7041 zeroes,             239 ones
Profile Cycle             286:             736 evals,             117 toggles,            7129 zeroes,             232 ones
Profile Cycle             287:             787 evals,              76 toggles,            7081 zeroes,             193 ones
Profile Cycle             288:             787 evals,              77 toggles,            7024 zeroes,             250 ones
Profile Cycle             289:             798 evals,             216 toggles,            7250 zeroes,             408 ones
Profile Cycle             290:             776 evals,             231 toggles,            6800 zeroes,             442 ones
Profile Cycle             291:             763 evals,             128 toggles,            7053 zeroes,             546 ones
Profile Cycle             292:             759 evals,             202 toggles,            6772 zeroes,             326 ones
Profile Cycle             293:             750 evals,              28 toggles,            6695 zeroes,             304 ones
Profile Cycle             294:             751 evals,               8 toggles,            6699 zeroes,             301 ones
Profile Cycle             295:             752 evals,              14 toggles,            6699 zeroes,             303 ones
Profile Cycle             296:             773 evals,              44 toggles,            6969 zeroes,             331 ones
Profile Cycle             297:             790 evals,             166 toggles,            7059 zeroes,             311 ones
[297] Sample(9) output: 1
Profile Cycle             298:             705 evals,             166 toggles,            7086 zeroes,             264 ones
Profile Cycle             299:             724 evals,             160 toggles,            7143 zeroes,             289 ones
Profile Cycle             300:             736 evals,             157 toggles,            7152 zeroes,             209 ones
Profile Cycle             301:             766 evals,              92 toggles,            7030 zeroes,             227 ones
Profile Cycle             302:             715 evals,             181 toggles,            7108 zeroes,             343 ones
Profile Cycle             303:             776 evals,             162 toggles,            6854 zeroes,             388 ones
Profile Cycle             304:             776 evals,              47 toggles,            6894 zeroes,             438 ones
Profile Cycle             305:             762 evals,             110 toggles,            6841 zeroes,             353 ones
Profile Cycle             306:             753 evals,              26 toggles,            6753 zeroes,             342 ones
Profile Cycle             307:             754 evals,              11 toggles,            6760 zeroes,             336 ones
Profile Cycle             308:             755 evals,               8 toggles,            6754 zeroes,             344 ones
Profile Cycle             309:             770 evals,              57 toggles,            6837 zeroes,             367 ones
Profile Cycle             310:             787 evals,             177 toggles,            6899 zeroes,             375 ones
Profile Cycle             311:             705 evals,             159 toggles,            7128 zeroes,             292 ones
Profile Cycle             312:             755 evals,             128 toggles,            7362 zeroes,             193 ones
Profile Cycle             313:             787 evals,              80 toggles,            7079 zeroes,             195 ones
Profile Cycle             314:             713 evals,              61 toggles,            7060 zeroes,             220 ones
Profile Cycle             315:             736 evals,             123 toggles,            7154 zeroes,             207 ones
Profile Cycle             316:             787 evals,              73 toggles,            7103 zeroes,             171 ones
Profile Cycle             317:             787 evals,              80 toggles,            7049 zeroes,             225 ones
Profile Cycle             318:             798 evals,             194 toggles,            7296 zeroes,             362 ones
Profile Cycle             319:             776 evals,             217 toggles,            6849 zeroes,             393 ones
Profile Cycle             320:             784 evals,             107 toggles,            7104 zeroes,             512 ones
Profile Cycle             321:             738 evals,             181 toggles,            6768 zeroes,             313 ones
Profile Cycle             322:             750 evals,             141 toggles,            6560 zeroes,             439 ones
Profile Cycle             323:             751 evals,              11 toggles,            6567 zeroes,             433 ones
Profile Cycle             324:             752 evals,               8 toggles,            6561 zeroes,             441 ones
Profile Cycle             325:             773 evals,              57 toggles,            6825 zeroes,             475 ones
Profile Cycle             326:             790 evals,             167 toggles,            6885 zeroes,             485 ones
[326] Sample(10) output: 3
Profile Cycle             327:             705 evals,             197 toggles,            6913 zeroes,             437 ones
Profile Cycle             328:             724 evals,             130 toggles,            6964 zeroes,             468 ones
Profile Cycle             329:             736 evals,             172 toggles,            6996 zeroes,             365 ones
Profile Cycle             330:             787 evals,              84 toggles,            6898 zeroes,             376 ones
Profile Cycle             331:             694 evals,             194 toggles,            6891 zeroes,             543 ones
Profile Cycle             332:             776 evals,             208 toggles,            6664 zeroes,             578 ones
Profile Cycle             333:             776 evals,              56 toggles,            6701 zeroes,             631 ones
Profile Cycle             334:             762 evals,             120 toggles,            6654 zeroes,             540 ones
Profile Cycle             335:             753 evals,              35 toggles,            6568 zeroes,             527 ones
Profile Cycle             336:             754 evals,               8 toggles,            6572 zeroes,             524 ones
Profile Cycle             337:             755 evals,              11 toggles,            6569 zeroes,             529 ones
Profile Cycle             338:             770 evals,              53 toggles,            6636 zeroes,             568 ones
Profile Cycle             339:             787 evals,             209 toggles,            6713 zeroes,             561 ones
Profile Cycle             340:             726 evals,             142 toggles,            6969 zeroes,             468 ones
Profile Cycle             341:             734 evals,             118 toggles,            7169 zeroes,             369 ones
Profile Cycle             342:             787 evals,              90 toggles,            6914 zeroes,             360 ones
Profile Cycle             343:             713 evals,              64 toggles,            6898 zeroes,             382 ones
Profile Cycle             344:             736 evals,             117 toggles,            6986 zeroes,             375 ones
Profile Cycle             345:             787 evals,              79 toggles,            6941 zeroes,             333 ones
Profile Cycle             346:             787 evals,              77 toggles,            6884 zeroes,             390 ones
Profile Cycle             347:             798 evals,             215 toggles,            7104 zeroes,             554 ones
Profile Cycle             348:             776 evals,             232 toggles,            6654 zeroes,             588 ones
Profile Cycle             349:             784 evals,             134 toggles,            6923 zeroes,             693 ones
Profile Cycle             350:             759 evals,             190 toggles,            6619 zeroes,             479 ones
Profile Cycle             351:             729 evals,              40 toggles,            6524 zeroes,             458 ones
Profile Cycle             352:             751 evals,              33 toggles,            6548 zeroes,             452 ones
Profile Cycle             353:             752 evals,              11 toggles,            6545 zeroes,             457 ones
Profile Cycle             354:             773 evals,              50 toggles,            6815 zeroes,             485 ones
Profile Cycle             355:             790 evals,             173 toggles,            6908 zeroes,             462 ones
[355] Sample(11) output: 4
Profile Cycle             356:             705 evals,             175 toggles,            6933 zeroes,             417 ones
Profile Cycle             357:             724 evals,             158 toggles,            6981 zeroes,             451 ones
Profile Cycle             358:             736 evals,             167 toggles,            6998 zeroes,             363 ones
Profile Cycle             359:             787 evals,              92 toggles,            6909 zeroes,             365 ones
