ram: set wl 32
ram: set size 64
ram: set size 4096
ram: set wl 32
ram: set size 32
ram: set wl 32
Profile Cycle             119:             621 evals,             136 toggles,            5806 zeroes,             361 ones
Profile Cycle             120:             629 evals,             135 toggles,            5752 zeroes,             310 ones
Profile Cycle             121:             648 evals,             106 toggles,            5667 zeroes,             310 ones
Profile Cycle             122:             602 evals,             155 toggles,            5540 zeroes,             446 ones
Profile Cycle             123:             658 evals,             141 toggles,            5473 zeroes,             490 ones
Profile Cycle             124:             658 evals,              46 toggles,            5515 zeroes,             538 ones
Profile Cycle             125:             644 evals,              85 toggles,            5445 zeroes,             470 ones
Profile Cycle             126:             635 evals,              23 toggles,            5359 zeroes,             457 ones
Profile Cycle             127:             636 evals,              11 toggles,            5366 zeroes,             451 ones
Profile Cycle             128:             637 evals,               8 toggles,            5360 zeroes,             459 ones
Profile Cycle             129:             653 evals,              47 toggles,            5483 zeroes,             474 ones
Profile Cycle             130:             670 evals,             132 toggles,            5531 zeroes,             495 ones
Profile Cycle             131:             600 evals,             159 toggles,            5756 zeroes,             397 ones
Profile Cycle             132:             648 evals,             124 toggles,            5938 zeroes,             317 ones
Profile Cycle             133:             669 evals,              68 toggles,            5665 zeroes,             329 ones
Profile Cycle             134:             608 evals,              82 toggles,            5663 zeroes,             349 ones
Profile Cycle             135:             629 evals,             113 toggles,            5689 zeroes,             373 ones
Profile Cycle             136:             669 evals,             142 toggles,            5626 zeroes,             368 ones
Profile Cycle             137:             666 evals,              89 toggles,            5773 zeroes,             453 ones
Profile Cycle             138:             681 evals,             108 toggles,            5871 zeroes,             464 ones
Profile Cycle             139:             634 evals,             160 toggles,            5748 zeroes,             560 ones
Profile Cycle             140:             647 evals,             241 toggles,            5970 zeroes,             412 ones
[140] 5 0
Profile Cycle             141:             586 evals,             138 toggles,            5769 zeroes,             364 ones
Profile Cycle             142:             621 evals,             168 toggles,            5782 zeroes,             385 ones
Profile Cycle             143:             629 evals,             142 toggles,            5739 zeroes,             323 ones
Profile Cycle             144:             669 evals,              97 toggles,            5672 zeroes,             322 ones
Profile Cycle             145:             602 evals,             148 toggles,            5541 zeroes,             445 ones
Profile Cycle             146:             658 evals,             123 toggles,            5471 zeroes,             492 ones
Profile Cycle             147:             658 evals,              49 toggles,            5516 zeroes,             537 ones
Profile Cycle             148:             644 evals,              80 toggles,            5440 zeroes,             475 ones
Profile Cycle             149:             635 evals,              32 toggles,            5363 zeroes,             453 ones
Profile Cycle             150:             636 evals,               8 toggles,            5367 zeroes,             450 ones
Profile Cycle             151:             616 evals,              29 toggles,            5349 zeroes,             453 ones
Profile Cycle             152:             653 evals,              68 toggles,            5496 zeroes,             461 ones
Profile Cycle             153:             670 evals,             137 toggles,            5547 zeroes,             479 ones
Profile Cycle             154:             621 evals,             151 toggles,            5790 zeroes,             380 ones
Profile Cycle             155:             648 evals,             106 toggles,            5963 zeroes,             292 ones
Profile Cycle             156:             669 evals,              65 toggles,            5687 zeroes,             307 ones
Profile Cycle             157:             608 evals,              85 toggles,            5688 zeroes,             324 ones
Profile Cycle             158:             629 evals,             107 toggles,            5708 zeroes,             354 ones
Profile Cycle             159:             669 evals,             151 toggles,            5654 zeroes,             340 ones
Profile Cycle             160:             666 evals,             106 toggles,            5773 zeroes,             453 ones
Profile Cycle             161:             660 evals,             135 toggles,            5859 zeroes,             459 ones
Profile Cycle             162:             634 evals,             219 toggles,            5664 zeroes,             644 ones
Profile Cycle             163:             647 evals,             345 toggles,            5936 zeroes,             446 ones
[163] 6 0
Profile Cycle             164:             607 evals,             168 toggles,            5792 zeroes,             358 ones
Profile Cycle             165:             621 evals,             154 toggles,            5748 zeroes,             419 ones
Profile Cycle             166:             629 evals,             149 toggles,            5716 zeroes,             346 ones
Profile Cycle             167:             669 evals,             101 toggles,            5652 zeroes,             342 ones
Profile Cycle             168:             602 evals,             164 toggles,            5489 zeroes,             497 ones
Profile Cycle             169:             658 evals,             151 toggles,            5433 zeroes,             530 ones
Profile Cycle             170:             658 evals,              52 toggles,            5469 zeroes,             584 ones
Profile Cycle             171:             623 evals,             104 toggles,            5387 zeroes,             511 ones
Profile Cycle             172:             635 evals,              53 toggles,            5333 zeroes,             483 ones
Profile Cycle             173:             636 evals,              11 toggles,            5340 zeroes,             477 ones
Profile Cycle             174:             637 evals,               8 toggles,            5334 zeroes,             485 ones
Profile Cycle             175:             653 evals,              53 toggles,            5447 zeroes,             510 ones
Profile Cycle             176:             670 evals,             159 toggles,            5501 zeroes,             525 ones
Profile Cycle             177:             621 evals,             163 toggles,            5759 zeroes,             411 ones
Profile Cycle             178:             648 evals,             102 toggles,            5934 zeroes,             321 ones
Profile Cycle             179:             669 evals,              74 toggles,            5667 zeroes,             327 ones
Profile Cycle             180:             608 evals,              82 toggles,            5665 zeroes,             347 ones
Profile Cycle             181:             608 evals,             116 toggles,            5667 zeroes,             378 ones
Profile Cycle             182:             669 evals,             159 toggles,            5629 zeroes,             365 ones
Profile Cycle             183:             666 evals,             143 toggles,            5721 zeroes,             505 ones
Profile Cycle             184:             681 evals,             147 toggles,            5830 zeroes,             505 ones
Profile Cycle             185:             634 evals,             251 toggles,            5582 zeroes,             726 ones
Profile Cycle             186:             647 evals,             442 toggles,            5898 zeroes,             484 ones
[186] 7 0
Profile Cycle             187:             607 evals,             206 toggles,            5791 zeroes,             359 ones
Profile Cycle             188:             621 evals,             142 toggles,            5772 zeroes,             395 ones
Profile Cycle             189:             629 evals,             142 toggles,            5729 zeroes,             333 ones
Profile Cycle             190:             669 evals,              96 toggles,            5662 zeroes,             332 ones
Profile Cycle             191:             581 evals,             140 toggles,            5539 zeroes,             430 ones
Profile Cycle             192:             658 evals,             142 toggles,            5478 zeroes,             485 ones
Profile Cycle             193:             658 evals,              43 toggles,            5529 zeroes,             524 ones
Profile Cycle             194:             644 evals,              69 toggles,            5444 zeroes,             471 ones
Profile Cycle             195:             635 evals,              28 toggles,            5364 zeroes,             452 ones
Profile Cycle             196:             636 evals,               8 toggles,            5368 zeroes,             449 ones
Profile Cycle             197:             637 evals,              11 toggles,            5365 zeroes,             454 ones
Profile Cycle             198:             653 evals,              38 toggles,            5479 zeroes,             478 ones
Profile Cycle             199:             670 evals,             132 toggles,            5518 zeroes,             508 ones
Profile Cycle             200:             621 evals,             155 toggles,            5769 zeroes,             401 ones
Profile Cycle             201:             627 evals,             102 toggles,            5910 zeroes,             328 ones
Profile Cycle             202:             669 evals,              94 toggles,            5677 zeroes,             317 ones
Profile Cycle             203:             608 evals,              85 toggles,            5678 zeroes,             334 ones
Profile Cycle             204:             629 evals,             107 toggles,            5698 zeroes,             364 ones
Profile Cycle             205:             669 evals,             148 toggles,            5641 zeroes,             353 ones
Profile Cycle             206:             666 evals,             147 toggles,            5710 zeroes,             516 ones
Profile Cycle             207:             681 evals,             163 toggles,            5820 zeroes,             515 ones
Profile Cycle             208:             634 evals,             280 toggles,            5505 zeroes,             803 ones
Profile Cycle             209:             647 evals,             552 toggles,            5877 zeroes,             505 ones
[209] 8 0
Profile Cycle             210:             607 evals,             246 toggles,            5807 zeroes,             343 ones
Profile Cycle             211:             600 evals,             139 toggles,            5759 zeroes,             391 ones
Profile Cycle             212:             629 evals,             154 toggles,            5732 zeroes,             330 ones
Profile Cycle             213:             669 evals,             100 toggles,            5668 zeroes,             326 ones
Profile Cycle             214:             602 evals,             143 toggles,            5531 zeroes,             455 ones
Profile Cycle             215:             658 evals,             144 toggles,            5467 zeroes,             496 ones
Profile Cycle             216:             658 evals,              46 toggles,            5509 zeroes,             544 ones
Profile Cycle             217:             644 evals,              82 toggles,            5436 zeroes,             479 ones
Profile Cycle             218:             635 evals,              27 toggles,            5342 zeroes,             474 ones
Profile Cycle             219:             636 evals,              17 toggles,            5355 zeroes,             462 ones
Profile Cycle             220:             637 evals,               8 toggles,            5349 zeroes,             470 ones
Profile Cycle             221:             632 evals,              58 toggles,            5428 zeroes,             512 ones
Profile Cycle             222:             670 evals,             171 toggles,            5480 zeroes,             546 ones
Profile Cycle             223:             621 evals,             168 toggles,            5766 zeroes,             404 ones
Profile Cycle             224:             648 evals,              97 toggles,            5933 zeroes,             322 ones
Profile Cycle             225:             669 evals,              71 toggles,            5663 zeroes,             331 ones
Profile Cycle             226:             608 evals,              82 toggles,            5661 zeroes,             351 ones
Profile Cycle             227:             629 evals,             110 toggles,            5684 zeroes,             378 ones
